original_file,inferred_professor,inferred_year,suggested_category,confidence,score_mid1,score_mid2,score_final
./assets/organic_chemistry/107有機一(陳建添)/期中第二次/IMG_6948.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第二次/IMG_6949.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第二次/IMG_6950.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第二次/IMG_6951.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第二次/IMG_6952.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第四次/IMG_6972.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第四次/IMG_6973.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第四次/IMG_6974.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第四次/IMG_6975.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第四次/IMG_6976.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第四次/IMG_6977.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第四次/IMG_6978.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第四次/IMG_6979.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第四次/IMG_6980.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/107有機一(陳建添)/期中第四次/IMG_6981.JPG,陳建添,2018,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/1/IMG_6888.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/1/IMG_6889.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/1/IMG_6890.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/1/IMG_6891.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/2/IMG_6882.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/2/IMG_6883.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/2/IMG_6884.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/2/IMG_6885.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/2/IMG_6886.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/2/IMG_6887.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/3/IMG_6892.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/3/IMG_6893.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/3/IMG_6894.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/3/IMG_6895.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/3/IMG_6896.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/3/IMG_6897.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/3/IMG_6898.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/3/IMG_6899.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/3/IMG_6900.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/3/IMG_6901.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/3/IMG_6902.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/3/IMG_6903.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/期末考/IMG_6874.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/期末考/IMG_6875.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/期末考/IMG_6876.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/期末考/IMG_6877.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/期末考/IMG_6878.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/期末考/IMG_6879.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/期末考/IMG_6880.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機一(汪炳鈞)/期末考/IMG_6881.JPG,汪炳鈞,2019,unknown,0,0,0,0
./assets/organic_chemistry/108有機二(汪炳鈞)/1/20220214_233323.jpg,汪炳鈞,2022,unknown,0,0,0,0
./assets/organic_chemistry/108有機二(汪炳鈞)/1/20220214_233333.jpg,汪炳鈞,2022,unknown,0,0,0,0
./assets/organic_chemistry/108有機二(汪炳鈞)/1/20220214_233342.jpg,汪炳鈞,2022,unknown,0,0,0,0
./assets/organic_chemistry/108有機二(汪炳鈞)/1/20220214_233351.jpg,汪炳鈞,2022,unknown,0,0,0,0
./assets/organic_chemistry/108有機二(汪炳鈞)/2/20220214_233415.jpg,汪炳鈞,2022,unknown,0,0,0,0
./assets/organic_chemistry/108有機二(汪炳鈞)/2/20220214_233436.jpg,汪炳鈞,2022,unknown,0,0,0,0
./assets/organic_chemistry/108有機二(汪炳鈞)/2/20220214_233445.jpg,汪炳鈞,2022,unknown,0,0,0,0
./assets/organic_chemistry/108有機二(汪炳鈞)/2/20220214_233501.jpg,汪炳鈞,2022,unknown,0,0,0,0
./assets/organic_chemistry/108有機二(汪炳鈞)/2/20220214_233513.jpg,汪炳鈞,2022,unknown,0,0,0,0
./assets/organic_chemistry/108有機二(汪炳鈞)/3/20220214_233808.jpg,汪炳鈞,2022,unknown,0,0,0,0
./assets/organic_chemistry/108有機二(汪炳鈞)/3/20220214_233824.jpg,汪炳鈞,2022,unknown,0,0,0,0
./assets/organic_chemistry/108有機二(汪炳鈞)/3/20220214_233837.jpg,汪炳鈞,2022,unknown,0,0,0,0
./assets/organic_chemistry/108有機二(汪炳鈞)/期末考/20220214_233848.jpg,汪炳鈞,2022,unknown,0,0,0,0
./assets/organic_chemistry/108有機二(汪炳鈞)/期末考/20220214_233902.jpg,汪炳鈞,2022,unknown,0,0,0,0
./assets/organic_chemistry/108有機二(汪炳鈞)/期末考/20220214_233913.jpg,汪炳鈞,2022,unknown,0,0,0,0
./assets/organic_chemistry/108有機二(汪炳鈞)/期末考/20220214_233925.jpg,汪炳鈞,2022,unknown,0,0,0,0
./assets/organic_chemistry/109有機一(汪炳鈞)/一/109上第一次期中.pdf,汪炳鈞,2020,unknown,0,0,0,0
./assets/organic_chemistry/109有機一(汪炳鈞)/一/IMG_6860.jpg,汪炳鈞,2020,unknown,0,0,0,0
./assets/organic_chemistry/109有機一(汪炳鈞)/一/IMG_6861.jpg,汪炳鈞,2020,unknown,0,0,0,0
./assets/organic_chemistry/109有機一(汪炳鈞)/三/109上第三次期中.pdf,汪炳鈞,2020,unknown,0,0,0,0
./assets/organic_chemistry/109有機一(汪炳鈞)/三/IMG_6865.jpg,汪炳鈞,2020,unknown,0,0,0,0
./assets/organic_chemistry/109有機一(汪炳鈞)/三/IMG_6866.jpg,汪炳鈞,2020,unknown,0,0,0,0
./assets/organic_chemistry/109有機一(汪炳鈞)/三/IMG_6867.jpg,汪炳鈞,2020,unknown,0,0,0,0
./assets/organic_chemistry/109有機一(汪炳鈞)/三/IMG_6868.jpg,汪炳鈞,2020,unknown,0,0,0,0
./assets/organic_chemistry/109有機一(汪炳鈞)/二/109上第二次期中.pdf,汪炳鈞,2020,unknown,0,0,0,0
./assets/organic_chemistry/109有機一(汪炳鈞)/二/IMG_6862.jpg,汪炳鈞,2020,unknown,0,0,0,0
./assets/organic_chemistry/109有機一(汪炳鈞)/二/IMG_6863.jpg,汪炳鈞,2020,unknown,0,0,0,0
./assets/organic_chemistry/109有機一(汪炳鈞)/二/IMG_6864.jpg,汪炳鈞,2020,unknown,0,0,0,0
./assets/organic_chemistry/109有機一(汪炳鈞)/期末/109上期末.pdf,汪炳鈞,2020,unknown,0,0,0,0
./assets/organic_chemistry/109有機一(汪炳鈞)/期末/IMG_6869.jpg,汪炳鈞,2020,unknown,0,0,0,0
./assets/organic_chemistry/109有機一(汪炳鈞)/期末/IMG_6870.jpg,汪炳鈞,2020,unknown,0,0,0,0
./assets/organic_chemistry/109有機一(汪炳鈞)/期末/IMG_6871.jpg,汪炳鈞,2020,unknown,0,0,0,0
./assets/organic_chemistry/109有機二(陳建添)/Fin/有機二FIN.pdf,陳建添,2020,unknown,0,0,0,0
./assets/organic_chemistry/109有機二(陳建添)/Mid 1/20210409有機第一次期中考解答.pdf,陳建添,2021,unknown,0,0,0,0
./assets/organic_chemistry/109有機二(陳建添)/Mid 1/有機二 MID 1.pdf,陳建添,2020,unknown,0,0,0,0
./assets/organic_chemistry/109有機二(陳建添)/Mid 2/20210504有機第二次期中考解答.pdf,陳建添,2021,unknown,0,0,0,0
./assets/organic_chemistry/109有機二(陳建添)/Mid 2/有機二 MID 2.pdf,陳建添,2020,unknown,0,0,0,0
./assets/organic_chemistry/109有機二(陳建添)/Mid 3/20210608有機第三次期中考解答.pdf,陳建添,2021,unknown,0,0,0,0
./assets/organic_chemistry/109有機二(陳建添)/Mid 3/有機二 MID 3.pdf,陳建添,2020,unknown,0,0,0,0
./assets/organic_chemistry/109有機二(陳建添)/organic chemistry-II-Online-exam--fixed.pdf,陳建添,2020,unknown,0,0,0,0
./assets/organic_chemistry/110有機一(陳建添)/1/答案卷.pdf,陳建添,2021,unknown,0,0,0,0
./assets/organic_chemistry/110有機一(陳建添)/1/題目卷.pdf,陳建添,2021,unknown,0,0,0,0
./assets/organic_chemistry/110有機一(陳建添)/2/答案卷.pdf,陳建添,2021,unknown,0,0,0,0
./assets/organic_chemistry/110有機一(陳建添)/2/題目卷.pdf,陳建添,2021,unknown,0,0,0,0
./assets/organic_chemistry/110有機一(陳建添)/3/題目卷.pdf,陳建添,2021,unknown,0,0,0,0
./assets/organic_chemistry/110有機二(陳建添)/final/organic chemistry-II-Online-exam--fixed (1).pdf,陳建添,2021,final,18,0,0,18
./assets/organic_chemistry/110有機二(陳建添)/mid1/有機二 Mid 1（建添）.pdf,陳建添,2021,mid1,18,18,0,0
./assets/organic_chemistry/111有機一(林俊成)/111林俊成/Ans/Ans for second exam.pdf,林俊成,2022,mid2,18,0,18,0
./assets/organic_chemistry/111有機一(林俊成)/111林俊成/小考/ch2.pdf,林俊成,2022,unknown,0,0,0,0
./assets/organic_chemistry/111有機一(林俊成)/111林俊成/小考/ch3.pdf,林俊成,2022,unknown,0,0,0,0
./assets/organic_chemistry/111有機一(林俊成)/111林俊成/小考/ch5.pdf,林俊成,2022,unknown,0,0,0,0
./assets/organic_chemistry/111有機一(林俊成)/111林俊成/有機一first exam.pdf,林俊成,2022,mid1,18,18,0,0
./assets/organic_chemistry/111有機一(林俊成)/111林俊成/有機一second exam.pdf,林俊成,2022,mid2,18,0,18,0
./assets/organic_chemistry/111有機一(林俊成)/111林俊成/有機一third exam.pdf,林俊成,2022,unknown,0,0,0,0
./assets/organic_chemistry/111有機二(陳建添)/Answers to second term.pdf,陳建添,2022,mid2,18,0,18,0
./assets/organic_chemistry/111有機二(陳建添)/Answers to third term.docx,陳建添,2022,unknown,0,0,0,0
./assets/organic_chemistry/111有機二(陳建添)/Answers to third term.pdf,陳建添,2022,unknown,0,0,0,0
./assets/organic_chemistry/111有機二(陳建添)/Organic final term exam.pdf,陳建添,2022,final,18,0,0,18
./assets/organic_chemistry/111有機二(陳建添)/Organic first term exam.pdf,陳建添,2022,mid1,18,18,0,0
./assets/organic_chemistry/111有機二(陳建添)/Organic second term exam.pdf,陳建添,2022,mid2,18,0,18,0
./assets/organic_chemistry/111有機二(陳建添)/Organic third term exam.pdf,陳建添,2022,unknown,0,0,0,0
